VMV_CODE,VARIABLE_CODE,VARIABLE,VARIABLE_FR,VARIABLE_TYPE,VARIABLE_TYPE_FR,UNIT_UNITÉ,UNIT_NAME,UNITÉ_NOM,METHOD_CODE,METHOD_TITLE,MÉTHODE_TITRE,,,,,,,,
1093,745,RESIDUE FILTERABLE,RÉSIDUS FILTRABLES,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10130,BC MELP EMS CODE: X017,CODE DU SSE DU MELP DE LA C.-B. : X017,,,,,,,,
1098,750,RESIDUE TOTAL,RÉSIDUS TOTAUX,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10147,BC MELP EMS CODE: X042,CODE DU SSE DU MELP DE LA C.-B. : X042,,,,,,,,
1099,612,NITROGEN NITRITE,AZOTE NITRITES,NITROGEN,AZOTE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10168,BC MELP EMS CODE: X081,CODE DU SSE DU MELP DE LA C.-B. : X081,,,,,,,,
1100,628,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10169,BC MELP EMS CODE: X082,CODE DU SSE DU MELP DE LA C.-B. : X082,,,,,,,,
1101,443,COLOUR TRUE,COULEUR VRAIE,PHYSICAL,PHYSIQUE,CU,COLOUR UNIT,UNITÉ DE COULEUR,10179,BC MELP EMS CODE: X106,CODE DU SSE DU MELP DE LA C.-B. : X106,,,,,,,,
1103,532,FLUORIDE DISSOLVED,FLUORURE DISSOUS,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10193,BC MELP EMS CODE: X143,CODE DU SSE DU MELP DE LA C.-B. : X143,,,,,,,,
1104,604,AMMONIA DISSOLVED,AMMONIAC DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10199,BC MELP EMS CODE: X154,CODE DU SSE DU MELP DE LA C.-B. : X154,,,,,,,,
1105,2727,SULPHUR TOTAL,SOUFRE TOTAL,SULPHUR,SOUFRE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10204,BC MELP EMS CODE: X170,CODE DU SSE DU MELP DE LA C.-B. : X170,,,,,,,,
1106,487,CARBON TOTAL ORGANIC,CARBONE ORGANIQUE TOTAL,CARBON,CARBONE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10226,BC MELP EMS CODE: X257,CODE DU SSE DU MELP DE LA C.-B. : X257,,,,,,,,
1109,604,AMMONIA DISSOLVED,AMMONIAC DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10249,BC MELP EMS CODE: X326,CODE DU SSE DU MELP DE LA C.-B. : X326,,,,,,,,
1110,628,DISSOLVED NITRITE/NITRATE,NITRITES/NITRATES DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10251,BC MELP EMS CODE: X328,CODE DU SSE DU MELP DE LA C.-B. : X328,,,,,,,,
1111,687,PH,PH,PHYSICAL,PHYSIQUE,PH,PH UNITS,UNITÉ DE PH,10253,BC MELP EMS CODE: X330,CODE DU SSE DU MELP DE LA C.-B. : X330,,,,,,,,
1115,615,DISSOLVED NITROGEN NITRATE,AZOTE DISSOUS NITRATES,NITROGEN,AZOTE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10273,DISSOLVED ORGANIC NITROGEN(CALC FROM DN),AZOTE ORGANIQUE DISSOUS (CALCUL À PARTIR DE L'AZOTE DISSOUS),,,,,,,,
1117,626,NITROGEN KJELDAHL TOTAL,AZOTE KJELDAHL TOTAL,NITROGEN,AZOTE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10273,DISSOLVED ORGANIC NITROGEN(CALC FROM DN),AZOTE ORGANIQUE DISSOUS (CALCUL À PARTIR DE L'AZOTE DISSOUS),,,,,,,,
1120,625,NITROGEN KJELDAHL DISSOLVED,AZOTE KJELDAHL DISSOUS,NITROGEN,AZOTE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10273,DISSOLVED ORGANIC NITROGEN(CALC FROM DN),AZOTE ORGANIQUE DISSOUS (CALCUL À PARTIR DE L'AZOTE DISSOUS),,,,,,,,
1125,840,TEMPERATURE (WATER),TEMPÉRATURE (EAU),PHYSICAL,PHYSIQUE,DEG C,DEGREES CELSIUS,DEGRÉ CELSIUS,10282,BC MELP EMS CODE: XM02,CODE DU SSE DU MELP DE LA C.-B. : XM02,,,,,,,,
1126,817,SPECIFIC CONDUCTANCE,CONDUCTANCE SPÉCIFIQUE,PHYSICAL,PHYSIQUE,US/CM,MICROSIEMENS PER CENTIMETRE,MICROSIEMENS PAR CENTIMETRE,10285,BC MELP EMS CODE: XM10,CODE DU SSE DU MELP DE LA C.-B. : XM10,,,,,,,,
1128,10213,COLOUR TOTAL ABSORBANCE,COULEUR ABSORBANCE TOTALE,PHYSICAL,PHYSIQUE,TAC UNITS,TOTAL ABSORBANCE COLOUR UNITS,UNITÉ DE COULEUR D'ABSORBANCE TOTALE,10287,BC MELP EMS CODE: XM14,CODE DU SSE DU MELP DE LA C.-B. : XM14,,,,,,,,
1130,635,NITROGEN TOTAL,AZOTE TOTAL,NITROGEN,AZOTE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10298,TOTAL NITROGEN BY COLORIMETRIC CADMIUM/COPPER REDUCTION (PESC SOP),"AZOTE TOTAL, RÉDUCTION AVEC CADMIUM/CUIVRE ER COLRIMÉTRIE (PON PESC)",,,,,,,,
1131,364,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10299,ALKALINITY - SINGLE POTENTIOMETRIC TITRATION,ALCALINITÉ - TITRAGE POTENTIOMÉTRIQUE SIMPLE,,,,,,,,
1132,366,ALKALINITY PHENOLPHTHALEIN CACO3,ALCALINITÉ PHÉNOLPHTALÉINE CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10299,ALKALINITY - SINGLE POTENTIOMETRIC TITRATION,ALCALINITÉ - TITRAGE POTENTIOMÉTRIQUE SIMPLE,,,,,,,,
1139,601,SODIUM EXTRACTABLE,SODIUM EXTRACTIBLE,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10301,BC MELP EMS METHOD CODE F055 NO PRES/NO FILTR/NO DIG; ICP SHORTCUT,CODE DU SSE DU MELP DE LA C.-B. : F055 ICP RAPIDE SANS PRÉSER./SANS FILTR./SANS DIG.,,,,,,,,
1140,2736,"SILICON, EXTRACTABLE","SILICONE, EXTRACTIBLE",MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10301,BC MELP EMS METHOD CODE F055 NO PRES/NO FILTR/NO DIG; ICP SHORTCUT,CODE DU SSE DU MELP DE LA C.-B. : F055 ICP RAPIDE SANS PRÉSER./SANS FILTR./SANS DIG.,,,,,,,,
1141,583,MAGNESIUM EXTRACTABLE/UNFILTERED,MAGNÉSIUM EXTRACTIBLE/NON FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10301,BC MELP EMS METHOD CODE F055 NO PRES/NO FILTR/NO DIG; ICP SHORTCUT,CODE DU SSE DU MELP DE LA C.-B. : F055 ICP RAPIDE SANS PRÉSER./SANS FILTR./SANS DIG.,,,,,,,,
1142,566,POTASSIUM EXTRACTABLE,POTASSIUM EXTRACTIBLE,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10301,BC MELP EMS METHOD CODE F055 NO PRES/NO FILTR/NO DIG; ICP SHORTCUT,CODE DU SSE DU MELP DE LA C.-B. : F055 ICP RAPIDE SANS PRÉSER./SANS FILTR./SANS DIG.,,,,,,,,
1143,406,CALCIUM EXTRACTABLE/UNFILTERED,CALCIUM EXTRACTIBLE/NON FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10301,BC MELP EMS METHOD CODE F055 NO PRES/NO FILTR/NO DIG; ICP SHORTCUT,CODE DU SSE DU MELP DE LA C.-B. : F055 ICP RAPIDE SANS PRÉSER./SANS FILTR./SANS DIG.,,,,,,,,
1145,749,RESIDUE NONFILTRABLE,RÉSIDUS NON-FILTRABLES,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10310,BC MELP: F042 WHOLE BOTTLE;GRAV.;WHOLE BOTTLE;1.2UM GF FILTER;103-5C,"CODE DU SSE DU MELP DE LA C.-B. : F042 BOUTEILLE COMPL.;GRAV.; BOUTEILLE COMPL.; FILTRE GF 1,2 µM; 103-5°C",,,,,,,,
1175,789,SILICON DISSOLVED,SILICONE DISSOLVED,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10320,BC MELP EMS CODE: F039  FIELD FILT + ACID; ICP-AES,CODE DU SSE DU MELP DE LA C.-B. : F039  FILTR. SUR LE TERRAIN + ACIDE; ICP-AES,,,,,,,,
1178,600,SODIUM DISSOLVED/FILTERED,SODIUM DISSOUS/FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10320,BC MELP EMS CODE: F039  FIELD FILT + ACID; ICP-AES,CODE DU SSE DU MELP DE LA C.-B. : F039  FILTR. SUR LE TERRAIN + ACIDE; ICP-AES,,,,,,,,
1179,581,MAGNESIUM DISSOLVED/FILTERED,MAGNÉSIUM DISSOUS/FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10320,BC MELP EMS CODE: F039  FIELD FILT + ACID; ICP-AES,CODE DU SSE DU MELP DE LA C.-B. : F039  FILTR. SUR LE TERRAIN + ACIDE; ICP-AES,,,,,,,,
1180,404,CALCIUM DISSOLVED/FILTERED,CALCIUM DISSOUS/FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10320,BC MELP EMS CODE: F039  FIELD FILT + ACID; ICP-AES,CODE DU SSE DU MELP DE LA C.-B. : F039  FILTR. SUR LE TERRAIN + ACIDE; ICP-AES,,,,,,,,
1181,565,POTASSIUM DISSOLVED/FILTERED,POTASSIUM DISSOUS/FILTRÉ,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10320,BC MELP EMS CODE: F039  FIELD FILT + ACID; ICP-AES,CODE DU SSE DU MELP DE LA C.-B. : F039  FILTR. SUR LE TERRAIN + ACIDE; ICP-AES,,,,,,,,
1204,731,PHOSPHORUS TOTAL DISSOLVED,PHOSPHORE TOTAL DISSOUS,PHOSPHORUS,PHOSPHORE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10320,BC MELP EMS CODE: F039  FIELD FILT + ACID; ICP-AES,CODE DU SSE DU MELP DE LA C.-B. : F039  FILTR. SUR LE TERRAIN + ACIDE; ICP-AES,,,,,,,,
1205,542,HARDNESS TOTAL (CALCD.) CACO3,DURETÉ TOTALE (CALC.) CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10335,BC MELP EMS CODE: CCAL (EXTRACTABLE),CODE DU SSE DU MELP DE LA C.-B. : CCAL (EXTRACTIBLE),,,,,,,,
1208,364,ALKALINITY TOTAL CACO3,ALCALINITÉ TOTALE CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10346,BC MELP EMS CODE: 1212 POT TITRATION,CODE DU SSE DU MELP DE LA C.-B. : 1212 TITRAGE POT.,,,,,,,,
1257,511,FLUORIDE TOTAL,FLUORURE TOTAL,MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10348,ION SELECTIVE ELECTRODE. BC EMS CODE 1341,ÉLECTRODE À MEMBRANE SÉLECTIVE. CODE DU SSE DE LA C.-B. : 1341,,,,,,,,
1281,363,ALKALINITY GRAN CACO3,ALCALINITÉ GRAN CACO3,PHYSICAL,PHYSIQUE,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10351,BC EMS METHOD CODE: 5062 ELECTRON/GRANS PLOT,CODE DU SSE DE LA C.-B. : 5062 ELECTRON/GRANS PLOT,,,,,,,,
1285,861,THALLIUM TOTAL,THALLIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1286,1049,BISMUTH TOTAL,BISMUTH TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1287,576,LITHIUM TOTAL,LITHIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1288,2725,URANIUM TOTAL,URANIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1289,519,IRON TOTAL,FER TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1290,2728,"SILICON, TOTAL","SILICONE, TOTAL",MAJOR IONS,IONS MAJEURS,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1291,858,TITANIUM TOTAL,TITANE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1292,683,LEAD TOTAL,PLOMB TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1293,350,SILVER TOTAL,ARGENT TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1294,373,ALUMINUM TOTAL,ALUMINIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1295,379,ARSENIC TOTAL,ARSENIC TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1296,401,BORON TOTAL,BORE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1297,388,BARIUM TOTAL,BARYUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1298,393,BERYLLIUM TOTAL,BÉRYLLIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1299,823,STRONTIUM TOTAL,STRONTIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1300,412,CADMIUM TOTAL,CADMIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1301,456,COBALT TOTAL,COBALT TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1302,463,CHROMIUM TOTAL,CHROME TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1303,470,COPPER TOTAL,CUIVRE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1304,591,MANGANESE TOTAL,MANGANÈSE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1305,595,MOLYBDENUM TOTAL,MOLYBDÈNE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1306,610,NICKEL TOTAL,NICKEL TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1307,766,ANTIMONY TOTAL,ANTIMOINE TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1308,782,SELENIUM TOTAL,SÉLÉNIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1309,812,TIN TOTAL,ÉTAIN TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
1310,878,VANADIUM TOTAL,VANADIUM TOTAL,METAL,MÉTAUX,MG/L,MILLIGRAMS PER LITRE,MILLIGRAMME PAR LITRE,10356,BC MELP EMS CODE: F033 (ACID DIG: CENTRIFUGE ICPMS),CODE DU SSE DU MELP DE LA C.-B. : F033 (DIGESTION ACIDE : CENTRIFUGATION ICPMS),,,,,,,,
